ui_music_volume|음악 볼륨:
ui_ranged_damage|원거리 피해: %d%s
ui_overall_quality|전반적 품질:
ui_shader_quality|셰이더 품질:
ui_flora_lod_detail|식생 세부 묘사:
ui_flora_degrade_distance|식생 표시 거리:
ui_antialiasing|안티앨리어싱:
ui_use_depth_effects|심도 효과 사용
ui_hdr_mode|HDR 모드:
ui_autoexpore|자동 노출
ui_choose_profile|프로필 선택
ui_create|생성
ui_edit|편집
ui_join_game|게임 참여
ui_host_game|방 만들기
ui_custom|사용자 지정
ui_medium|중간
ui_male|남성
ui_female|여성
ui_gender|성별:
ui_edit_profile|프로필 편집
ui_new_profile|새 프로필
ui_enter_username|사용자 이름:
ui_invalid_username|잘못된 이름: 문자와 숫자, 일부 특수문자(_ - * [ ] ~)만 사용 가능합니다.
ui_confirmation|계속 하시겠습니까?
ui_multiplayer|여럿이 하기
ui_server_name|서버
ui_module_name|모듈
ui_game_type|게임 타입
ui_map_name|맵
ui_ping|지연 시간(핑)
ui_dedicated|전용 서버
ui_number_of_players|플레이어 수
ui_password_protected|비밀번호
ui_connect|연결
ui_local_area_network|LAN 게임
ui_internet|인터넷
ui_favorites|즐겨 찾기
ui_source|소스:
ui_server_password|서버 비밀번호:
ui_refresh|새로고침
ui_start_search|검색 시작
ui_add_to_favorites|즐겨찾기 추가
ui_remove_from_favorites|즐겨찾기 삭제
ui_use_speedtree|스피드트리 엔진 사용
ui_use_instancing|인스턴싱 효과 사용
ui_error|오류
ui_error_server_full|서버가 가득 찼습니다.
ui_error_server_full_for_non_private|서버의 비공개석 외 자리가 가득 찼습니다.
ui_error_server_password_incorrect|비밀번호가 일치하지 않습니다.
ui_error_incorrect_serial|시리얼 번호가 틀립니다.
ui_error_incorrect_authorization_key|인증 키가 틀립니다.
ui_error_banned_from_server|당신은 이 서버에서 차단(Banned)되었습니다.
ui_error_username_taken|동일한 이름의 사용자가 이미 있습니다.
ui_error_authentication_failed|인증 실패.
ui_unable_to_connect_to_server|서버에 연결할 수 없습니다.
ui_connection_to_server_is_lost|서버와의 연결이 끊어졌습니다.
ui_kicked_from_server|서버에서 강제 퇴장(Kicked)당했습니다.
ui_switch_to_module_question|서버의 모듈이 현재 구동 중인 모듈과 다릅니다. 해당 모듈로 변경하시겠습니까?
ui_download_module_question|해당 모듈이 설치되어 있지 않습니다. 다운로드 페이지를 방문하시겠습니까?
ui_download_mb_new_version_question|이 서버는 %d.%d%d%d 버전으로 구동되고 있습니다. 사용자의 버전은 %d.%d%d%d으로 하위 버전입니다. 지금 TaleWorlds에 방문하여 다운로드 하시겠습니까?
ui_download_mb_old_version_question|이 서버는 %d.%d%d%d 버전으로 구동되고 있습니다. 사용자의 버전은 %d.%d%d%d으로 상위 버전입니다.
ui_download_module_new_version_question|이 서버는 당신이 구동중인 %d.%d%d%d 버전보다 새로운 %d.%d%d%d 버전으로 구동되고 있습니다. 이 모듈을 받기 위해 다운로드 사이트에 지금 방문하시겠습니까?
ui_download_module_old_version_question|이 서버는 당신이 구동중인 %d.%d%d%d 버전보다 오래된 %d.%d%d%d 버전으로 구동되고 있습니다.
ui_authenticating_with_steam|Steam 인증 중...
ui_validating_serial_number|시리얼 번호 검증 중...
ui_scanning_lan|LAN 탐색 중...
ui_retrieving_servers|서버 목록 불러오는 중...
ui_shield_size2|크기: %dx%d
ui_click_to_view_notes|기록을 보려면 클릭
ui_retrieving_server_infos|서버 정보 확인 중 (%d)...
ui_connecting_to_server|서버 연결 중...
ui_requesting_to_join_the_game|게임 참여 요청 중...
ui_loading|불러오는 중...
ui_group_value_control|그룹 %d!
ui_drop_weapon|무기 버리기
ui_multiplayer_message_all|전체 채팅
ui_multiplayer_message_team|팀 채팅
ui_command_line|명령어 입력줄
ui_use_ranged_weapon_as_melee|무기 모드 전환
ui_send_message_all|전체 메시지 전송
ui_send_message_team|팀 메시지 전송
ui_select|선택
ui_context_menu|상황별 메뉴
ui_round_starts_in_value_seconds|%d초 후 라운드가 시작됩니다...
ui_watching_value|%s 관전 중
ui_capital_spec|관전자
ui_capital_dead|사망함
ui_instancing_error1|인스턴스 버퍼에(규모: %d) 락을 걸지 못했습니다. 메쉬 인스턴싱을 비활성화합니다. (에러 코드: %d)
ui_instancing_error2|인스턴스된 객체에 맞지 않습니다. 메쉬 인스턴싱을 비활성화 합니다.
ui_by_keyboard|방향키로 조작
ui_combat_speed_slowest|가장 느림
ui_combat_speed_slower|느림
ui_combat_speed_normal|보통
ui_combat_speed_faster|빠름
ui_combat_speed_fastest|가장 빠름
ui_module_newer_than_application|당신이 선택한 모듈은 게임의 최신버전을 요구합니다.
ui_module_older_than_application|당신이 선택한 모듈은 게임의 구버전을 요구합니다.
ui_unbalanced|불안정함
ui_can_crush_through_blocks|방어를 뚫을 수 있음
ui_turn_camera_with_horse|말 이동 시 시점 동기화
ui_widescreen_mode_on|멀티 스크린 모드 활성화
ui_widescreen_mode_off|멀티 스크린 모드 비활성화
ui_notification_cant_upgrade|(자금이 부족하여 승급할 수 없습니다)
ui_turn_never|사용 안 함
ui_turn_ranged_only|사격 시에만
ui_turn_melee_only|근접 시에만
ui_turn_always|항상 사용
ui_general_options|범용 옵션
ui_vac_enabled|밸브 안티 치트 활성화
ui_campaign_ai|군사 작전 인공지능:
ui_downloading_map|지도 다운로드 중 (%d KB)
ui_download_completed|다운로드 완료.
ui_server_filter|서버 필터
ui_has_players|플레이어 있는 서버
ui_is_not_full|빈자리 있는 서버
ui_is_password_free|비밀번호 없는 서버
ui_native_only|Native 모드 전용
ui_ping_limit|핑 제한
ui_filter_info|%d 개의 게임들과 %d 명의 플레이어들이 필터링되었습니다.
ui_is_version_compatible|모듈 호환 가능
ui_ttnet_account|TTNET Oyun 계정
ui_username|사용자 이름
ui_password|비밀번호
ui_error_incorrect_username_or_password|사용자 이름이나 비밀번호가 일치하지 않습니다
ui_validating_account|계정 인증 중...
ui_plase_enter_your_serial_key|시리얼 키를 입력해주세요
ui_texture_detail2|텍스쳐 품질:
ui_antialiasing2|안티얼리어싱:
ui_napoleonic_key_does_not_exist|Napoleonic Wars DLC 필요
ui_delete_module_workshop|창작마당 구독 해제 확인
ui_delete_module|모듈 삭제 확인
ui_delete_native_module|기본 모듈 삭제 불가
ui_incompatible_module|모듈 호환 불가
ui_troop_upgrades|병종 관계도
ui_crouch|웅크리기
