qstr_Breaking_camp...|야영지를 파괴합니다...
qstr_Scum!|이 쓰레기 같은 놈!
qstr___He_tilts_his_head_|--그가 고개를 갸웃하며 답을 고민하는 듯 당신을 응시합니다.--
qstr_You_wish_to_know_abo|위대한 라그나르 로드브록에 대해 알고 싶소? 오딘의 자손이자 잉글링가에텐 가문 출신인 그분 말이오. 모든 그리스도인이 두려워했던 야를이었지. 앵글리아와 프랑크 왕국을 수없이 정복했고, 거대한 원정으로 이름을 떨쳤소. 그는 전사들을 하나로 묶고 이끄는 법을 아는 분이었소.
qstr___He_looks_directly_|--그가 선명한 푸른 눈으로 당신을 빤히 쳐다보며 강조합니다.--
qstr_Ragnar_was_more_than|라그나르는 인간 그 이상이었고 그의 아들들 또한 그러하오. 라게르타와 아슬라우그를 포함해 여러 아내 사이에서 많은 자식을 두었지. '뼈 없는 자' 이바르, '무적' 비요른, 할프단, '눈 속의 뱀' 시구르드, 우베... 아들만 열 명이 넘고 딸도 많았소. 당신이 영리하다면 그들과 척지는 일은 피해야 할 거요. 독싱가에서 그들의 부하들을 죽인 것에 대해 시구르드에게 용서를 구하는 게 좋을 거요.
qstr___He_spits_to_the_si|--그가 말을 잇기 전에 한쪽에 침을 뱉습니다.--
qstr_Unfortunately_King_A|불행히도 앵글리아 노섬브리아의 왕 아엘이 라그나르를 사로잡아 독사 굴에 던져버렸소. 지금 라그나르의 아들들이 노섬브리아로 가서 그 왕들을 처단했지. 이제 노섬브리아는 덴마크인의 땅이고 곧 앵글리아 전역이 그리될 거요. 시구르드와 형제들은 덴마크에서 대군을 소집 중이오. 그들은 이바르와 할프단에게 합류해 앵글리아 전역을 휩쓸 것이오. 누구나 아는 사실이지.
qstr_Note_1:_Ragnar_Lodbr|첫 번째 기록: 전설적인 바이킹 라그나르 로드브록은 생전에 라게르타, 아슬라우그 등 여러 아내를 두었으며, '뼈 없는' 이바르, '무적' 비요른, 할프단, '눈 속의 뱀' 시구르드, 그리고 우베 등 많은 자녀를 남겼습니다. 그의 아들들은 아버지를 죽인 노섬브리아의 왕 아엘에게 복수하기 위해 앵글리아를 침공하였고, 결국 그를 처단했습니다.
qstr___He_thinks_for_a_fe|--그는 잠시 생각에 잠깁니다.--
qstr_Yes_we_attacked_some|그렇소, 스벤이 노섬브리아로 떠나기 전에 몇 척의 배를 습격했지. '워든 릭'이라는 이름이 마음에 들어 기억하고 있소. '워든(오딘)'은 앵글리아가 기독교화되기 전 아주 중요한 신이었지. 예전에 약탈한 마을에서 여전히 워든을 섬기던 가족을 본 적 있는데, 그들만은 살려주었소. 우린 그분을 오딘이라 부르지.
qstr_They_were_idiots._Th|멍청한 놈들이었지. 우리가 이미 박살 낸 다른 배들의 잔해 근처에서 멈춰 있더군. 따라잡는 데 몇 시간도 안 걸렸소. 바람도 좋아서 바로 배에 올라탔지. 배에 전사가 몇 없어서 식은 죽 먹기였소.
qstr___He_swallows.__|--그가 침을 삼킵니다.--
qstr_Very_few_unfortunate|안타깝게도 거의 없소. 보통은 노예로 팔기 위해 산 채로 잡으려 노력하오.
qstr___He_raises_his_hand|--그는 당신이 대답하기도 전에 손을 들어 제지했습니다.--
qstr_The_port_master_of_{s|{s3}의 항구 관리가 '황소목' 스벤의 은신처가 어디인지 알지도 모릅니다. 그를 설득해 정보력을 얻어내십시오. 그는 주로 항구 근처 외곽에서 발견된다고 합니다.
qstr___One_of_the_captain|--선장 중 한 명이 크게 웃음을 터뜨렸습니다.--
qstr_Hey_hey!_Enough_laug|이봐요, 내 체면 깎아 가며 웃는 건 그만두시오! 이제 하랄드가 중요한 이야기를 계속하게 해줍시다!
qstr_You_ragr_insult_my_c|이 비겁한 놈, 내 아이들을 한 번만 더 모욕했다간 목부터 배꼽까지 갈라버리겠다.
qstr___He_looks_at_you_with_i|--그는 숨길 수 없는 적개심과 혐오 섞인 눈으로 당신을 바라봅니다.--
qstr___He_spits_overboard|--그는 배 밖으로 침을 뱉고는 당신 곁에 있던 스벤의 선장 중 한 명에게 시선을 고정합니다.--
qstr___He_clears_his_thro|--그는 목청을 가다듬고 당신들을 한 명씩 쳐다봅니다.--
qstr_Note:_Your_mother_is|기록: 당신의 어머니는 현재 '황소목' 스벤의 아내이자 '세이드(무당)'가 된 것으로 보입니다. 병세가 악화되어 이제는 과거의 일들을 거의 기억하지 못하는 지경에 이른 것 같습니다.
qstr___Harald_remains_cal|--하랄드는 실전에 단련된 사람처럼 침착함을 유지하며 명령을 내리기 시작합니다.--
qstr_Sven_Bull_Neck_attac|황소목' 스벤이 하랄드 하랄드손이 이끄는 함대 일부를 공격하여 {s9}와 많은 병사를 죽였습니다. {s9}의 마지막 유언은 {s11}에게 스벤의 배신을 알리라는 것이었습니다. 스벤의 무리보다 먼저 {s11}을 찾아 첫 보고하십시오. 먼저 보고할수록 당신의 신뢰도가 높아질 것입니다.
qstr___The_farmer_lowers_|--농부는 고개를 숙이고 자신의 발끝을 내려다봅니다. 그의 목소리에는 슬픔이 배어 있습니다.--
qstr___The_farmer_is_trem|--농부는 공포에 질려 부들부들 떨고 있습니다.--
qstr_My_{reg59?lady:lord}|{reg59?부인:경}! 제발 살려주십시오! 필요하다면 수도사들에게 땅을 다 바칠 테니, 제 목숨만은 살려주십시오.
qstr_You_threaten_me?_Loo|저를 협박하시는 겁니까? 보십시오, {reg59?부인:경}. 전 이미 충분히 곤란한 처지라 더는 문제를 만들고 싶지 않을 뿐입니다.
qstr___The_farmer_looks_i|--농부는 당신의 눈을 바라보다가 이내 눈물을 터뜨립니다.--
qstr_I_know_I_cannot_do_a|전 아무것도 할 수 없다는 걸 압니다! 여기 다른 사람들처럼 저도 땅을 잃겠지요. 수도원은 더 많은 땅을 원하고, 야를조차 그들을 지지하고 있습니다. 이제 그들과 싸우는 것도 지쳤습니다.
qstr_I_m_not_a_liar_my_{r|저는 거짓말쟁이가 아닙니다, {reg59?부인:경}!
qstr_There_is_something_s|나는 당신이 정직한 사람이라 확신하오, 그러나 이 문서는 이상한 점이 많소. 당신도 그렇게 생각하지 않소? (사려 분별)
qstr_These_lands_are_impo|이 땅은 당신에게도 중요하겠지만, 이 농민의 가족에겐 생계가 걸린 문제가 되었소. 그 땅이 없다면 그들은 굶어 죽게 될 것이오. (불굴의 정신)
qstr_Well_what_more_could|글쎄, 이 문서에 대해 더 말해줄 것들이 있지 않소? (절제)
qstr_You_are_a_monk_a_man|당신은 하느님께 헌신하는 수도사이지 않소. 이 문서에 대한 당신의 말을 믿어보겠소. (정의)
qstr___You_watch_him_rub_|--그가 손을 비비며 당신의 시선을 피하는 모습이 보입니다.--
qstr_I_don_t_know._It_loo|저도 잘 모르겠습니다. {reg59?부인:경}, 제가 보기엔 별문제가 없어 보입니다만.
qstr_Our_monastery_needs_|우리 수도원이 번창하려면 땅이 필요합니다. 수도원을 옮길 수는 없지만, 이 농부는 다른 곳에서 운을 시험해 볼 수 있지 않겠습니까, {reg59?부인:경}.
qstr_I_m_just_a_scribe_in|저는 그저 수도원의 서기관일 뿐입니다! 고대 로마의 문헌들을 필사하는 게 제 일이죠. 다른 문서를 만들기 위해 긁어내서 쓸 낡은 양피지를 찾다가 우연히 이 문서를 발견했을 뿐입니다!
qstr_Err..._well..._My_I_|어... 그게... 음... 당신에게 대답해줄 말이 없소.
qstr___The_monk_is_trembl|--수도사는 공포에 질려 벌벌 떨고 있습니다.--
qstr_My_God_{reg59?lady:s|신이시여, {reg59?부인:경}! 제발 죽이지 마십시오! 수도원장님이 소유권 증서를 위조하라고 강요하셨습니다. 그분이 이 땅을 원하셨거든요. 하지만 제발 제가 말했다고 하지는 말아 주십시오.
qstr_You_would_threaten_a|성직자를 협박하시는 겁니까? 부끄러운 줄 아십시오!
qstr___The_monk_lowers_hi|--수도사는 당신의 기세에 눌려 고개를 숙이고 잔뜩 움츠러듭니다.--
qstr_I_ll_go_to_hell_for_|전 위증죄로 지옥에 갈 겁니다! 수도원장님이 소유권 증서를 위조하라고 시키셨습니다. 그분이 이 땅을 탐내셨거든요. 하지만 제발 비밀로 해주십시오.
qstr_{s2}^^{s3}|{s2}^^{s3}
qstr_I_m_not_a_liar_{reg5|전 거짓말쟁이가 아닙니다, {reg59?부인:경}. 이 문서는 정확한 사실을 담은겁니다.
qstr_Allt_veit_ek_Odinn_h|알트 베이트 에크, 오딘, 흐바르 쑤 아우가 팔트: 이 이눔 매라 미미스 브룬니...(오딘이여, 당신이 눈을 바친 곳을 내가 아나니, 그것은 바로 미미르의 샘...) ^^ 어... 미안하오. ^^ 무슨 일이오?
qstr_Many_men_prefer_Thor|많은 이들이 오딘보다 토르를 좋아하지만, 난 로키가 좋소. 신들 중 가장 영리하지 않소. 하지만 이건 비밀로 해주시오.
qstr_Glad_and_Gyllir_Gler|글라드와 길리르, 글레르와 스케이드브리미르, 실프린토프와 시니르, 기슬과 팔호프니르, 굴토프와 레트페티. 에시르 신들은 매일 이 말들을 타고 세계수 이그드라실 아래에 있는 법정으로 향한다오.
qstr_{s13}_asked_you_to_g|{s13}이(가) 소 {reg3}마리를 모아 자신에게 데려와 달라고 요청했습니다.
qstr_{s9}_wants_you_to_fo|{s9}은(는) 추후 통보가 있을 때까지 당신이 자신의 군대를 따르기를 원합니다.
qstr_{s9}_asked_you_to_sc|{s9}은(는) 당신이 {s13}, {s14}, {s15}를 정찰한 뒤 보고해달라고 요청했습니다.
qstr___He_seems_impatient|--그는 조급해 보이며, 심지어 실망한 기색마저 보입니다.--
qstr___He_spits_angry.__|--그는 화가 난 듯 침을 뱉습니다.--
qstr_It_seems_you_will_no|왕은 당신을 돕지 않을 것입니다. 왕의 도움 없이 직접 '눈 속의 뱀' {s11} 라그나르손과 대면해야 합니다.
qstr_{s10}_won_t_support_|{s10}은(는) 당신과 시구르드 라그나르손 사이의 문제에 개입하지 않을 것입니다.
qstr_{s11}_supports_you_a|{s11}은(는) 당신을 지원하기로 했으며, 당신이 그를 위해 라그나르의 검을 찾아오는 동안 신변을 보호해주겠다고 약속했습니다.
qstr_It_seems_you_will_ha|왕이 당신을 지원해줄 것으로 보입니다. 이제 왕의 후원을 업고 '눈 속의 뱀' {s11} 라그나르손과 담판을 지어야 할 때입니다.
qstr___Bodo_grabs_your_ar|--보도는 당신이 곁을 떠나지 못하게 팔을 붙잡고는, 왕이 멀어질 때까지 기다렸다가 당신의 눈을 똑바로 쳐다보며 말하기 시작했습니다.--
qstr___He_seems_hurt_puts|--그는 상처를 입은 듯 손을 가슴에 얹고 당신의 눈을 바라봅니다.--
qstr_Bodo_lied_about_the_|보도는 라그나르 왕의 검에 대해 거짓말을 했습니다. 그가 가지고 있던 것은 사실 웨식스와의 동맹을 위한 서신이었으며, 현재는 {s11}의 손에 넘어갔습니다.
qstr___The_king_seems_imp|--왕은 참을성이 없어 보입니다.--
qstr___He_remains_thought|--그는 잠시 생각에 잠긴 듯합니다.--
qstr___He_looks_directly_i|--그는 당신의 눈을 정면으로 응시합니다.--
qstr___He_sighs.__|--그가 한숨을 내쉽니다.--
qstr___His_hands_move_qui|--그는 자신의 생각을 설명하며 빠르게 손을 움직입니다.--
qstr_{s10}_needs_to_recov|{s10}은(는) '눈 속의 뱀' 시구르드가 총회에서 덴마크 야를들의 환심을 사는 데 이용하지 못하도록 보도의 서신을 되찾아오길 원합니다. {s10}은 아틀리라는 시구르드의 부하가 서신을 가지고 있다고 했지만, 그는 이미 {s3}에서 출항하여 행방이 묘연합니다. 이 문제에 대해 {s3}의 항구 관리에게 문의해야 합니다.
qstr_{s10}_suggested_that|{s10}은 울프가 총회에서 당신에게 불리한 증언을 하지 않도록 농장으로 가서 그를 설득하라고 조언했습니다. 또한 덴마크 야를들과 좋은 관계를 맺어두면 그들이 총회에서 당신을 변호해 줄 것입니다. (중립 증언은 우호도 15 이상, 긍정적 증언은 30 이상 필요). 준비가 끝나면 다시 왕을 찾아가 총회 개최를 요청하십시오.
qstr___Egil_walks_away_wi|--에길은 호릭 왕과 잠시 떨어져 걷더니 조용히 이야기를 나눕니다. 잠시 후 왕은 떠나고 에길이 당신에게 돌아옵니다.--
qstr_Note_Egil:_You_chose|에길에 대한 기록: 당신은 동료들 몰래 {s9}의 첩자 노릇을 했던 에길의 배신을 묵인하기로 했습니다.
qstr_Reginhard_thinks_that|레긴하르트는 당신이 에길의 배신을 처벌하지 않은 것을 두고 나약한 지도자라고 생각합니다.
qstr_Your_men_think_that_you_are|부하들은 당신이 에길의 배신을 처벌하지 않은 것을 두고 나약한 지도자라고 생각합니다.
qstr___Brunhild_s_eyes_ar|--부룬힐드의 눈에는 눈물이 가득 고여 있습니다.--
qstr___She_runs_away_from|--그녀는 당신을 피해 달아납니다.--
qstr___He_seems_hurt_puts_|--그는 상처받은 표정으로 가슴에 손을 얹고 당신의 눈을 응시합니다.--
qstr_Note_Egil:_You_warn_|에길에 대한 기록: 당신은 에길이 {s9}의 밀정이었음을 밝히고, 총회가 끝나면 부대를 떠나야 한다고 경고했습니다.
qstr_Note_Egil:_You_warn_E|에길에 대한 기록: 당신은 에길과이 {s9}의 첩자 노릇을 하고 부룬힐드에게 한 짓들에 대한 대가로, 총회 이후 목숨을 건 결투를 하게 될 것이라고 경고했습니다.
qstr___He_looks_worried._|--그는 걱정스러운 표정입니다.--
qstr_Things_being_as_they|상황이 이러니, 내가 할 수 있는 게 없겠구려. (냉정함)
qstr_I_see._I_don_t_know_|알겠소. 뭐라 할 말이 없군. (우울증)
qstr_Guthrum_s_dead_but_w|구트럼은 죽었지만 우린 살아있소. 나를 믿으시오. 이 상황을 벗어나게 도와주겠소. (다혈질)
qstr_Nothing_is_lost._We_|아직 끝난 게 아니오. 우린 지금까지 시구르드의 계획을 모두 저지해왔지 않소. (낙관적)
qstr_Yes_the_Norns_that_s|그럴 것이지, 노른들이 우리의 운명을 짜고 있을 테니까. 바라건데, 다음에는 우리에게 유리한 운명을 짜내길 기대해야겠지.
qstr_Don_t_worry_about_it|그 점은 걱정하지 마시오. 당신과 복잡한 주제로 대화하려 한 내 잘못이니.
qstr_I_m_not_so_sure._You|그건 잘 모르겠소. 당신이 덴마크에 나타난 것이 내게 득이 된 점도 있지만, 순전히 유리한 것만은 아니었소.
qstr_We_ll_see._Sigurd_is|두고 봐야겠지. 시구르드는 라그나르의 자식들 중 가장 교활한 자니까 말이오.
qstr___Harald_seems_tense|--하랄드는 근육을 긴장시킨 채 경계심 어린 눈초리로 주변을 살핍니다. 그는 마치 주군의 그림자처럼 바짝 붙어 보호하고 있습니다.--
qstr___Sven_Bull_Neck_app|--지명을 받자 '황소목' 스벤이 나타납니다. 그는 자신감 넘치는 타고난 지도자의 풍모를 지녔습니다. 건장한 체격에 우렁찬 목소리를 가진 그와 마침내 대면하게 되었습니다. 그를 보는 순간, 당신의 기억은 워든 릭이 공격받고 어머니가 납치되던 그날로 돌아갑니다. 마침내 당신에게 그토록 큰 상처를 준 사내가 눈앞에 서 있습니다.--
qstr___Sven_Bull_Neck_has|--당신을 손가락으로 가리키며 비난하는 스벤의 눈가에는 눈물이 어려 있었습니다.--
qstr_The_judges_nod_at_th|법관들은 황소목 스벤의 말에 고개를 끄덕였습니다. 이 것은 당신의 상황을 더 복잡하게 만들고 있었습니다.
qstr___Egil_whispers.__|--에길이 속삭입니다.--
qstr___One_judge_near_the|--큰 바위 근처에 있던 한 명의 법관이 스벤과 시구르드를 바라보더니, 그 다음 당신과 호릭 왕을 바라봅니다. 그리고 그는 말합니다.--
qstr_The_judges_nod_at_yo|법관들은 당신의 말에 고개를 끄덕였습니다. 당신의 상황이 눈 앞에 보이는 듯 했습니다.
qstr___Sven_Bull_Neck_smi|--'황소목' 스벤이 미소 짓습니다.--
qstr___Egil_comes_forward|--에길이 법관들 앞으로 나섭니다.--
qstr___The_judges_confer_|--법관들이 잠시 의견을 나눈 뒤 대변인이 입을 엽니다.--
qstr_The_judges_nod_at_the|법관들은 에길의 말에 고개를 끄덕였습니다. 상황이 눈에 띄게 좋아지고 있습니다.
qstr_The_judges_shake_the|법관들이 그들의 말에 고개를 가로저었습니다. 상황이 당신에게 유리해지고 있다는 뜻입니다.
qstr_I_know_{playername}_|나는 {playername}을(를) 알고 있소, 나는 {reg59?그녀:그}의 결백을 위해서라면 내 손을 불속에라도 집어넣겠소.
qstr_The_judges_nod_at_hi|법관들이 그의 말에 고개를 끄덕입니다. 상황이 당신에게 매우 유리해졌습니다.
qstr_In_my_opinion_{playe|내 생각에는, {playername}은(는) 결백하다고 생각하오.
qstr_The_judges_nod_at_his|법관들이 그의 말에 고개를 끄덕입니다. 상황이 조금씩 나아지고 있습니다.
qstr_I_do_not_have_enough|저는 찬성이나 반대를 결정할 만큼 정보가 충분하지 않습니다.
qstr_In_my_opinion_{player|내 생각에는, {playername}(이)가 '백발의' 올비르를 죽인 죄인이라고 생각하오.
qstr_The_judges_nod_at_his_|법관들이 그의 말에 고개를 끄덕입니다. 상황이 다시 꼬이고 있습니다.
qstr___The_judges_confer_a|법관들이 오랫동안 논의한 끝에 대변인이 결론을 말합니다.
qstr___Sigurd_steps_forwa|--시구르드가 모든 사람들의 주목을 받으며 앞으로 걸어나옵니다. 그는 경외와 두려움의 대상이며, 그의 아버지가 남긴 그림자는 이 곳까지 길게 드리워져 있습니다.--
qstr___While_Sigurd_conti|--시구르드가 연설을 계속하는 동안, 하랄드는 호릭 왕에게 다가갔습니다. 그의 얼굴은 긴장되어 보였고, 그의 목소리는 낮았습니다.--
qstr___Egil_moves_his_han|--에길은 이마에 땀방울을 흘리며 초조하게 손을 꼼지락거립니다.--
qstr_Your_men_think_that_you_are_|부하들은 당신이 희생양이 되는 것을 받아들인 나약한 지도자라고 생각합니다.
qstr_Do_not_rush_to_actio|성급히 움직이지 마시오, 호릭 왕. 시구르드에겐 아무것도 없소. 아틀리는 죽었습니다. (지혜)
qstr_We_will_be_allowed_t|우리에게도 시구르드의 주장에 반박할 기회가 주어질 것이오. 총회의 판단을 믿어봅시다. (불굴의 정신)
qstr_Egil_this_is_the_tim|에길, 지금이야말로 자네 아버님께 자네의 배짱과 강인함을 보여드려야 할 때가 됐소. (절제)
qstr_I_would_accept_my_pu|내가 유죄라면 나는 주저하지 않고 총회가 내리는 처벌을 받아들일 것이오, 그러나 진실은 그렇지 않소. 나는 결백하오. (정의)
qstr_You_speak_wisely._I_|자네의 말은 현명하군. 나는 그 말에 동의하네. 우리는 총회의 신뢰를 잃어서는 아무 것도 할 수가 없어. 권력의 균형이 매우 미묘한 상황에서 이곳 야를들의 입지는 아주 중요한 요소지. 시구르드가 우리에 대해 어떤 패를 쥐고 있는지 확인을 해 보도록 하지.
qstr_The_Assembly_s_decis|총회의 결정은 당사자들간의 힘의 권력 구도에 따라 잘라질 것이야.. 따라서, 우리는 총회의 신뢰를 잃어서는 아무 것도 할 수가 없어. 권력의 균형은 매우 미묘하고, 이 곳의 야를들은 매우 중요한 요소지. 시구르드가 무엇을 꾸미고 있는지 지켜볼 필요가 있어.
qstr_Egil_listen_to_{play|에길, {playername}의 말을 듣고 배우게. 우리는 총회의 신뢰를 잃는 짓은 하지 말아야 하네. 권력의 균형은 매우 미묘하고 야를들은 매우 중요한 존재들이니. 시구르드가 우리를 상대로 무엇을 내놓을지 확인해야겠네.
qstr_You_are_right._Moreo|자네 말이 맞네. 게다가 총회의 신뢰를 잃는 일은 절대 없어야 하지. 권력의 균형은 매우 미묘하고 야를들의 영향력은 막대하네. 시구르드가 어떤 근거를 가졌는지 확인해볼 필요가 있겠군.
qstr___Sigurd_s_face_seem|--시구르드의 표정은 흔들림이 없어 보입니다. 그는 왕을 폐위시킬 수도 있는 독설을 내뱉으면서도 몸짓 하나하나를 완벽하게 통제하고 있습니다.--
qstr___Everyone_starts_ta|--시구르드의 말이 끝나자 모두가 웅성거리기 시작합니다. 공기 중에는 팽팽한 긴장감이 흐릅니다. 마침내 법관들이 장내를 진정시킵니다.--
qstr___King_Horik_s_face_|--호릭 왕의 얼굴이 시퍼렇게 질려 있습니다.--
qstr___Reginhard_seems_un|--모든 시선이 레긴하르트에게 쏠리자 그는 몹시 불편해 보입니다. 특히 그는 당신과 눈을 마주치지 않으려 애쓰고 있습니다.--
qstr___Egil_suffers_a_ner|--에길은 발작적인 증세를 보이며 비명을 지릅니다.--
qstr___Reginhard_looks_sa|--레긴하르트는 침울해 보입니다.--
qstr_The_judges_nod_at_the_|법관들이 레긴하르트의 말에 고개를 끄덕입니다. 이로 인해 당신의 처지가 매우 난처해졌습니다.
qstr___Reginhard_looks_do|--레긴하르트는 시선을 떨구고 낮은 목소리로 말합니다.--
qstr_I_have_always_treate|나는 항상 당신에게 잘 대해주지 않았소. 나는 지금 당신이 왜 이런 짓을 하는 지 이해가 잘 되지 않소. (냉정함)
qstr_You_know_that_I_had_|나에겐 티아데르트와 올비르는 물론 어떤 사람에 대해서도 선택의 여지가 없었다는 것을 잘 알고 있잖소. (우울증)
qstr_Wherever_you_may_hid|지금부터 당신이 어디에 숨건, 나는 당신을 찾아서 죽이고 말 것이오. (다혈질)
qstr_You_betrayed_Thiader|당신은 당신의 친구, 티아데르트를 배신했고 이제는 나를 배신하고 있소. 당신은 저주받을 것이오, 레긴하르트. (낙관적)
qstr_What_happened_is_tha|결국 티아데르트는 죽었고, 나는 그 죄책감을 안고 살아야 하오. 적어도 이제 그가 복수를 받게 될 거라는 점은 다행이군.
qstr_I_m..._sorry._I_do_w|미안하오... 난 그저 해야 할 일을 할 뿐이오.
qstr_I_do_not_think_so._W|난 그렇게 생각하지 않소. 우린 다시는 볼 일이 없을 테니까. 난 내 농장과 아내, 그리고 야를의 보호 속에서 살 것이고 당신은 죽거나 무법자가 되겠지.
qstr_I_am_damned..._For_t|난 이미 저주받았소... 그렇기에 당신이나 프리지아로부터 멀리 떨어진 곳에서 새로운 삶을 시작해야만 하오.
qstr___King_Horik_clears_|--호릭 왕이 헛기침을 하며 목청을 가다듬습니다.--
qstr___For_a_few_seconds_|--잠시 동안 시구르드가 평정심을 잃고 당황합니다.--
qstr_The_judges_nod_at_you|법관들이 당신의 말에 고개를 끄덕입니다. 상황이 눈에 띄게 개선되고 있습니다.
qstr_The_judges_seem_anno|법관들이 불쾌한 기색을 보입니다.
qstr___Sigurd_Ragnarsson_|--시구르드 라그나르손이 스벤을 뒤로 밀어내고 직접 발언권을 잡습니다.--
qstr_Your_men_think_that_you_are_a|부하들은 당신의 속죄금(Wergild)을 치르기 위해 자신들의 힘을 빌려야 하는 당신을 무능한 지도자라고 생각합니다.
qstr_The_Assembly_has_dec|총회는 레긴하르트의 위증 여부를 가리기 위해 목숨을 건 결투를 선언했습니다. 당신은 당신과 왕의 명예를 더럽힌 레긴하르트의 배신을 단죄하기 위해 그와 맞서기로 했습니다.
qstr_The_Assembly_has_decr|총회는 레긴하르트의 위증 여부를 가리기 위해 목숨을 건 결투를 선언했습니다. 당신은 당신과 왕의 명예를 훼손한 레긴하르트의 배신을 처벌하기 위해 그와 직접 결투하기로 결정했습니다.
qstr_The_Assembly_has_decre|총회는 레긴하르트의 위증 여부를 가리기 위해 목숨을 건 결투를 선언했습니다. 당신은 레긴하르트를 변호하며 에길에 맞서 싸우기로 결정했습니다.
qstr_Your_men_think_that_you_are_a_|부하들은 레긴하르트의 배신에도 불구하고 그를 살려두고 보호하려는 당신을 나약한 지도자라고 생각합니다.
qstr___He_clears_his_throa|--그가 헛기침을 합니다.--
qstr_The_Assembly_has_decree|총회는 당신이 라그나르의 아들들을 지원하기 위해 앵글리아로 보내는 덴마크 함대에 합류해야 한다고 결정했습니다. 당신이 홀름강 결투에서 승리한다면, 일이 끝나자 마자 {s3}의 선술집으로 가서 아스비요른을 만나야 합니다.
qstr___Another_judge_take|--또 다른 법관이 발언권을 얻습니다. 그는 각 진영을 차례로 살피더니 당신에게 시선을 고정합니다.--
qstr___King_Horik_quickly|--호릭 왕은 시구르드 야를의 행동에 대해 더 큰 통제권을 얻기 위해 재빨리 수락했습니다. --
qstr___Sigurd_Ragnarsson_s|--시구르드 라그나르손은 만족도 불만도 없는 기색입니다.--
qstr___Aelfred_of_West_Se|--웨식스의 앨프레드는 왜소하고 뼈대가 앙상하며, 직모에 턱이 툭 튀어나온 모습입니다. 다른 이들처럼 체격이 당당하진 않지만, 그의 외모에는 뭔가 범상치 않은 구석이 있습니다.--
qstr___He_takes_the_letter|--그는 편지를 받아 천천히 읽어 내려갔습니다. 다 읽고 나더니 당신을 쳐다봅니다.--
qstr_Your_men_think_that_you_r|부하들은 당신이 비요른과의 약속을 어기고 색슨인들에게 정보를 전달한다고 생각합니다.
qstr_Your_men_think_that_you_h|부하들은 당신이 비요른과의 약속에 대해 대담하게 행동했다고 생각합니다.
qstr___His_face_tired_and|--지저분하고 피곤에 찌든 그의 얼굴이 소식을 듣자 환하게 밝아집니다. 마치 작은 기쁨이라도 찾은 듯한 모습입니다.--
qstr_The_morale_of_the_de|당신의 말에 방어군들의 사기가 북돋워졌습니다.
qstr___His_face_thin_and_|--오랜 공성전 끝에 수척해지고 지저분해진 그의 얼굴이 더욱 피곤해 보입니다.--
qstr_The_morale_of_the_def|당신의 말에 방어군들의 사기가 꺾였습니다.
qstr___His_face_shows_ala|--그의 얼굴에 당혹감이 역력합니다.--
qstr___Three_men_well_arm|--당신이 대화하는 사이 무장한 전사 세 명이 다가왔습니다.--
qstr___Ivar_looks_at_you_|--이바르는 당신의 쓰임새나 위험도를 가늠하려는 듯 지적인 눈빛으로 당신을 살핍니다.--
qstr___Ivar_looks_at_you_w|--이바르는 얼음처럼 차가운 눈으로 당신을 바라보며 당신의 말이 농담인지 가늠합니다. 그의 입가가 잔인한 미소로 비틀리고 날카로운 안면 근육이 경직됩니다. 무언가 말하려다 이내 입을 다뭅니다. 그것이 다행인지, 아니면 그저 당신을 그의 처단 명단에 올린 것뿐인지는 알 수 없습니다.--
qstr___Ivar_looks_at_you_wi|--이바르는 얼음처럼 차가운 눈으로 당신을 뜯어보며 평가하고 있습니다.--
qstr___Ivar_smiles_but_th|--이바르가 미소를 짓지만, 그 미소에 호의는 거의 담겨 있지 않습니다. 얇은 입술이 비릿하게 호를 그리며 멸시와 협박을 동시에 뿜어냅니다.--
qstr_Return_to_{s11}_and_|{s11}에게 돌아가 그의 형제들이 색슨인들과의 회담에 응했다는 소식을 전하십시오.
qstr___He_takes_you_aside|--그는 당신을 따로 데려갑니다. 입술은 굳게 가라앉았고 얼굴은 붉게 상기되었으며, 당신을 분노 서린 눈으로 노려봅니다.--
qstr___He_looks_carefully|--그는 몇 초간 당신을 뚫어지게 살핍니다. 뱀 문양에 둘러싸인 그의 눈이 당신을 감시하는 듯한 기분이 듭니다.--
qstr___He_looks_suspiciou|--그는 당신을 의심스러운 눈초리로 바라봅니다.--
qstr_Collect_more_than_tw|시구르드 라그나르손을 위해 200명 이상의 병사를 모집하십시오.
qstr_Collect_two_hundred_|{s11}을 위해 200명의 병사를 모집하십시오.
qstr___He_looks_surprised|--그는 깜짝 놀란 표정입니다.--
qstr_You_don_t_trust_me!_|나를 믿지 못하시는군! 이해합니다만, 어머니를 만나는 것이 제겐 너무나 중요한 일이오. '황소목' 스벤은 내가 타고 가던 배를 습격해 어머니를 납치했소. 어머니가 지니고 있던 물건 때문에 사람을 착각했던 것이오. (냉정함)
qstr_I_think_you_misunder|오해하신 모양인데, 나는 어머니 없이는 이곳을 떠나지 않을 것이오. 스벤은 우리 배를 습격해 어머니를 납치했소. 어떤 물건 때문에 다른 사람으로 오인한 것이 분명하오. (우울증)
