str_yes|네.
str_npc12_signup_response_1|내 방패 벽에 온 것을 환영하오, 로크니어.
str_npc13_signup_response_1|좋소, 나는 당신 같은 사람을 고용하고 싶었소.
str_npc14_signup_response_1|좋소, 당신은 준비를 하시오, 우리는 우리의 길을 가야 할 것이오.
str_npc15_signup_response_1|나를 위해 일해 주시오, 나는 당신을 기꺼이 고용할 것이오.
str_npc16_signup_response_1|당신은 그 일을 할 수 있을 것이오, 나는 당신을 고용하겠소.
str_npc1_signup_response_2|내 부대에는 당신이 필요하지 않을 것 같소. 그럼 이만, 선생.
str_npc2_signup_response_2|아니, 나는 다른 부류의 동료를 선호하오. 그럼 잘 있으시오.
str_npc3_signup_response_2|사실, 나는 당신이 꽤 쓸모 없는 생각을 한다고 생각하고 있소. 당신의 주인에게로 돌아가시오, 노예.
str_npc4_signup_response_2|사실, 우리는 당신 같은 사람을 고용하는데 익숙치 않소. 안녕히 계시오.
str_npc5_signup_response_2|사실, 내 생각에는 내 병력들을 쫓아내지 않을 사람을 필요로 하고 있소.
str_npc6_signup_response_2|미안하오, 하지만 나는 당신이 필요하지 않소, 나는 내 주변에서 얼쩡대는 사람을 원치 않소.
str_npc7_signup_response_2|사실, 내 생각에는 당신이 문제를 일으킬 거라는 말로 들리고 있소. 그럼 잘 있으시오. 
str_npc8_signup_response_2|음, 어쩌면 당신은 다른 곳에서 행운을 찾을 수도 있을 것이오.
str_npc9_signup_response_2|당신은 잘못 생각하고 있소, 선생. 내 방패 벽 안에서는 용기와 능력을 더 존중하고 있소, 오히려 귀족보다는 말이오. 그리고 단순한 말로는 어떤 사람도 진정한 용사가 될 수 없소.
str_npc10_signup_response_2|내 생각에, 밤 중에 내 병사들이 색슨인과의 기원이 멀다는 이유로 죽어 나자빠지는 것을 원치는 않을 것 같소. 그럼 잘 있으시오.
str_npc11_signup_response_2|미안하오, 레이디. 우리는 이미 충분한 음유시인이 있소. 아마 당신은 다른 곳에서 다른 사람을 쫓아다녀야 할 것이오.
str_npc12_signup_response_2|전장은 학자들이 있을 곳이 아니오, 아마 당신은 다른 곳에서 일거리를 찾아야 할 것이오.
str_npc13_signup_response_2|내 전사들은 충분히 훈련되어 있소, 그럼 이만, 선생.
str_npc14_signup_response_2|사실, 내 생각에 당신은 전장의 영광에 안달이 나 있는 것 같소.
str_npc15_signup_response_2|사실, 나는 다른 종류의 전문가가 필요하오, 내 사과하겠소.
str_npc16_signup_response_2|솔직히 말하면, 나는 광신자가 아닌 동료를 원하고 있소.
str_npc1_payment|나는 당신에게 매우 유용할 것이오, {reg59?부인:경}, 내기를 해도 좋소. 다만 한 가지 더 우리가 떠나기 전에, 당신은 나에게 {reg3} 페닝을 빌려줄 수 있소? 부끄러운 말이지만, 나는 여기에 진 빚이 있어서 말이오, 지난 몇 주 동안 선술집에서 머무는 동안, 선술집 주인은 내가 더 이상 돈을 가져오지 않을 것이라고 생각하고 있소. 당신도 알겠지만, 이 곳에서 빚을 청산하지 않으면 나중에 상황이 추하게 될 수도 있소.
str_npc2_payment|내가 합류하기 전에, 나는 300 페닝을 받을 것이오.
str_npc3_payment|그럼 당신을 위해 당신의 적과 싸워볼게요!
str_npc4_payment|우리가 출발하기 전에, 당신은 나에게 {reg3} 페닝을 빌려주는 친절을 베풀어줄 수 있겠소? 나는 {s20}의 전당포에 가보를 저당 잡힌 상태라서 말이오, 그리고 나는 우리가 떠나기 전에 그 가보를 되찾고 싶소.
str_npc5_payment|고맙소, 지금, 우리의 계약을 공고히 하기 위해, {reg3} 페닝을 선금으로 주시오, 그 돈으로 당신의 군대에 종군하기 위한 적절한 갑옷과 무기를 구매할 것이오.
str_npc6_payment|나는 합류하기 전에, 300 페닝을 선금으로 지불받기를 원하고 있소.
str_npc7_payment|좋아요, 그렇다면 나는 당신과 함께 떠날게요. 하지만 나는 {reg3} 페닝을 선금으로 받고 싶어요. 설마 내가 무료로 봉사하기를 기대한건 아니겠죠?
str_npc8_payment|그럼 나는 당신을 위해 당신의 적과 싸울 것이오!
str_npc9_payment|좋소, 내가 합류하기 전에, 내게 {reg3} 페닝을 빌려줄 수 있겠소? 그 돈으로 나는 귀족 출신의 신사에 걸맞는 옷을 좀 구매하려고 하오. 내 외투가 최근에 있었던 일로 심하게 닳아서 말이오. 나는 내가 일반 병사중 한 명이라고 오해 받고 싶지 않소.
str_npc10_payment|좋은 소식이오, 하지만 마지막으로 한 가지 부탁이 있소, 주군. 나는 여기 {s20}에 여자가 있소, 창녀지, 그리고 그녀가 뱃속에 아이를 가졌다고 하더군. 젠장, 그녀는 브뤼케니오그의 여자요, 하지만 내가 떠나기 전에 그녀에게 돈을 주고 싶소... 아이를 위해서 말이오, 당신은 이해할 것이라 생각하오. 비록 아이가 반쪽짜리 색슨인이라도, 미래를 보장받을만한 가치가 있소. 내게 {reg3} 페닝을 줄 수 있소?
str_npc11_payment|좋아요, {reg59?예쁜이:멋쟁이}. 하지만 당신에게 합류하기 전에, 나는 {reg3} 페닝을 받기를 원해요. 당신이 알다시피, 당신을 지켜보는 시간동안 경비가 필요했으니까요.
str_npc12_payment|나는 합류하기 전에, 밀린 숙박비 등의 일부 계약을 해결해야만 하오. 당신이 도와줄 수 있겠소? 오직 300 페닝만 있으면 될 것이오.
str_npc13_payment|아, 마지막으로, 나는 당신에게 합류하기 전에 {reg3}의 선금을 받기를 원하고 있소. 내 원칙은 임금을 먼저 받지 않고 다른 사람에게 봉사를 제공하지 않는 것이오.
str_npc14_payment|나는 합류하기 전에, 이 곳에서 묵는 동안 발생한 몇몇 비용의 문제가 남아 있소. -- {reg3} 페닝이지. 당신이 나를 위해 그 문제를 도와줄 수 있소? 우리의 우정의 몸짓이 전설로 남을 수도 있지 않겠소?
str_npc15_payment|좋소, 그런데, 나는 숙련된 기술자로서 내 봉사에 대한 충분한 대가를 원하오. 나는 {reg3} 페닝정도의 선불금을 생각하고 있소.
str_npc16_payment|합류하기 전에, 나는 200 페닝을 선금으로 지불받기를 원하고 있소.
str_npc1_payment_response|좋소, 여기 {reg3} 페닝이오. 이제 문제는 해결되었을 것이오.
str_npc2_payment_response|좋소, 당신에게 졌소.
str_npc3_payment_response|좋소.
str_npc4_payment_response|확실히 그렇겠군, 여기 {reg3} 페닝을 받으시오.
str_npc5_payment_response|음... 여기 {reg3} 페닝이오, 이제 당신의 선불금은 지불한 것이오.
str_npc6_payment_response|좋소.
str_npc7_payment_response|물론, 문제 없소. 여기 {reg3} 페닝이오.
str_npc8_payment_response|오, 나는 거지가 아니오, 위대한 전사여. 여기 당신을 위한 {reg3} 페닝이 있소.
str_npc9_payment_response|좋소, 여기 {reg3} 페닝을 받으시오.
str_npc10_payment_response|좋소, 문제 없소. 여기, {reg3} 페닝이오.
str_npc11_payment_response|좋소, 여기 {reg3} 페닝을 받고, 길을 떠나야 할 것이오. 그리고 그만... 아, 음, 그냥 잊으시오.
str_npc12_payment_response|좋소.
str_npc13_payment_response|괜찮소, 여기 {reg3} 페닝이오. 내 방패 벽에 온 것을 환영하겠소.
str_npc14_payment_response|문제 없소, 여기 {reg3} 페닝이오. 이제 곧 떠날 준비를 하시오.
str_npc15_payment_response|괜찮소, 여기 {reg3} 페닝이 있소. 당신이 우리와 함께 해서 다행이오.
str_npc16_payment_response|좋소.
str_npc1_morality_speech|아 -- 주군. 오해하지 말고 들어주세요. {s21}은(는) 너무나도 우리를 고달프고 힘들게 해요. 제 말에 수긍이 되시면 앞으로는 좀 더 신경써 주시길 바랄께요.
str_npc2_morality_speech|전 {s21}에 신경 쓰지 않습니다만, 뻔뻔하고 비겁한 사람 중에는 자신의 부대원들로부터 존경받고 섬겨지는 사람은 아무도 없다는 걸 명심해주십시오.
str_npc3_morality_speech|이런 말을 해도 될지 모르겠지만, {reg59?부인:경}, 우리가 {s21} 했다는데에 조금 충격을 먹었어요. 물론, 전쟁이 잔혹하긴 하지만... 그렇다고 해서 우리도 더 잔혹해질 필요는 없다고 생각해요.
str_npc4_morality_speech|스코트인들은 {s21}에 신경 쓰지 않습니다만, 계속해서 이런 일이 반복된다면 별로 좋지 않을 것 같습니다.
str_npc5_morality_speech|주군, 죄송합니다만, {s21}은(는) 별로 좋은 선택이 아니었던 듯 합니다. 당신이 가장 중요히 여겨야 하는게 부대원들을 돌보는 겁니다. 부대원들이 최소한으로 요구하는 것들은 음식, 임금, 전리품, 그리고 자신의 목숨을 의미 없는 일에 잃는 것입니다.
str_npc6_morality_speech|잠시 들어보세요, {playername}. 당신도 아시다시피 저는 옳고 그름이 확실한 사람이에요. 직설적으로 말하겠어요. 다시는 {s21}을(를) 하지 말아주세요.
str_npc7_morality_speech|주군 -- 난 당신이 우리를 {s21} 하는데에 쓰지 않았으면 해요. 이런 행위는 부하들을 생각지도 않는 도적 우두머리들이나 하는 짓이에요.
str_npc8_morality_speech|당신이 {s21}을(를) 하겠다는 결정을 내린 것에 별로 기쁘지 않소. 전쟁에 나가는 건 영광스러운 일이오만, 비겁자가 지휘하는 부대원으로서 나가는 것은 망신이나 다름없소.
str_npc9_morality_speech|{reg59?부인:경} -- {s21}을(를) 하는 것은 제가 원하던 삶이 아니오. 가족들도 내가 불명예스럽게 죽었다는 소식을 원하지 않을 거요. 내가 당신을 섬긴다는게 부끄러운 일이었다고 느끼지 않게 해주시오.
str_npc10_morality_speech|감히 이런 말을 하여 죄송합니다, 주군. 하지만 우리가 {s21} 했다는 것을 그냥 둘 수는 없었습니다. 그들은 하루하루 살아가는 힘 없는 주민이었을 뿐이었습니다. 다음부터는 가여운 사람들은 그냥 지나갈 수 있다면, 제 기분이 훨씬 나아질 것 같습니다.
str_npc11_morality_speech|실례해요, {reg59?예쁜이:멋쟁이}. 우리가 {s21}한건 별로 좋지 않았어요. 병사들은 지도자가 먹여주고, 임금을 주고, 자신을 죽지 않게 해주는 걸 최고로 생각한다는 걸 잊지마세요.
str_npc12_morality_speech|주군 -- 난 당신이 우리를 {s21} 하는데에 쓰지 않았으면 하오. 난 당신의 전사가 되러 온 거지 도적이 되러 온 게 아니오. 우리에게 좀 더 동정심을 보여주기를 비오.
str_npc13_morality_speech|난 {s21}에 신경 쓰지는 않소만, 비겁자가 되어서는 부하들을 잘 통솔할 수는 없소.
str_npc14_morality_speech|주군, 가능하시다면, {s21}은(는) 안해주셨으면 해요. 이 세계는 보기보다 작아서, 평판이 아주 중요해요. 앞으로는 존경 받을 수 있는 주군이 되었으면 해요.
str_npc15_morality_speech|{reg59?부인:경} -- 그저 내 생각을 알아줬으면 해서 말하는 거요. 숙련된 사령관이라면 보통은 자신의 부하들을 {s21}하게 두지 않소.이런 말을 했다고 해서 상처받지 않았길 비오.
str_npc16_morality_speech|주군. 난 {s21}하는게 싫소. 신께서도 이런 행위를 절대 용납하지 않으실 거요. 이번 나의 충고를 깊이 새기지 않으면 당신은 분명 실패하게 될 거요.
str_npc1_2ary_morality_speech|주군 -- 그냥 아셨으면 해서 말씀드려요, 전 우리가 {s21}한다고 해서 불만은 없어요. 일단은 살아서 다음 전투를 기약한다는게 분명 나쁜건 아니라고 봐요.
str_npc2_2ary_morality_speech|그거 아십니까, {playername}. {s21}한 것은 크게 문제가 된다고 생각하지 않지만, 당신이 그들과의 약속을 어길 수 있다는 건, 저와의 약속 또한 져버릴 수 있다고 이번에 생각했습니다.
str_npc3_2ary_morality_speech|{reg59?부인:경} -- {s21}한 것이 결코 좋은 결정이었다고 말씀드리기는 힘드네요. 피를 보지 않기 위해 다른 일을 하는게 결코 부끄러운 일은 아니에요.
str_npc4_2ary_morality_speech|I think nothing of it that you {s21}. You should adopt whatever ruse you need to survive in these troubled times.
str_npc5_2ary_morality_speech|I think it was a brave decision you took to {s21}. There is no shame in finding a way to avoid the spilling of blood.
str_npc6_2ary_morality_speech|{playername} -- you may choose to {s21}, but I would prefer to have no part in it. Such is not the path to my redemption.
str_npc7_2ary_morality_speech|I think it was a brave decision you took to {s21}. There is no shame in finding a way to avoid the spilling of blood.
str_npc8_2ary_morality_speech|I think it was a brave decision you took to {s21}. There is no shame in finding a way to avoid the spilling of blood.
str_npc9_2ary_morality_speech|Warlord, I am dismayed that you {s21}. A {reg59?gentlewoman:gentleman} such as yourself should exhibit the highest standards of honor at all times.
str_npc10_2ary_morality_speech|{reg59?Sister:Brother} -- I can't say I like to see us {s21}. If you treat your men well, and they'll repay with interest.
str_npc11_2ary_morality_speech|I'm not very convinced about decision you took to {s21}. I was not taught that this was a very honorable solution. I'm confused, but maybe it was just an isolated incident, right?
str_npc12_2ary_morality_speech|I think it was a brave decision you took to {s21}. You have my support in this, as no damages the reputation to live to fight another day.
str_npc13_2ary_morality_speech|Warlord -- you should not let it bother you that you {s21}. Armies are made to do their leaders' bidding, and hardships are part of a soldier's life.
str_npc14_2ary_morality_speech|Captain -- just so you know, it's no problem by me that we {s21}. We do what we need to do to live, and they'd do the same to us if they were in our shoes.
str_npc15_2ary_morality_speech|You know, strategos, it's none too reassuring to see how you just {s21}. If you can break your word to them, you can break your word to me, that's how I figure it.
str_npc16_2ary_morality_speech|I think it was a brave decision you took to {s21}. There is no shame in finding a way to avoid the spilling of blood.
str_npc1_personalityclash_speech|Warlord -- no offense, but I'm a bit tired of {s11}, who puts on airs like she's something better than your humble servant, Caio.
str_npc2_personalityclash_speech|{reg59?Madame:Sir} -- as you recall, I was living in Ribe. I respect men who like mead and girls, but not men so strict and unbearable. I am talking about {s11}.
str_npc3_personalityclash_speech|Warlord -- in my opinion, {s11} is a terrible man. He has tried to seduce me into his bed many times, and I have already seen him following me during the night, when I am alone. I tell you, I am pretty scared of him.
str_npc4_personalityclash_speech|{s11} openly shows me disrespect, if things continue along this path, I'll kill him. Be warned if you want to take some action beforehand.
str_npc5_personalityclash_speech|A moment of your time, warlord. {s11} seems to think I'm a common bandit, just because I have rewarded myself in the past to the legitimate spoils of war from caravans passing through my family's lands.
str_npc6_personalityclash_speech|Your pardon, {playername}, but I cannot keep my tongue still any longer. That harlot, {s11} -- every time she sees me, she points the five fingers of her hand at me -- a peasant's sign to ward off evil.
str_npc7_personalityclash_speech|Warlord, I have done my best to put up with your followers' rude talk and filthy habits. But that one who calls himself {s11} is beyond tolerance.
str_npc8_personalityclash_speech|Just so you know, I cannot abide that insolent {s11}, who likes to call himself a 'philosopher'. That southern rat loves to speak in that awful gibberish talk he calls 'Latin', and loves to laugh at me behind my back because I do not understand what he is saying.
str_npc9_personalityclash_speech|{reg59?Madame:Sir} -- {s11} is a base braggart, a man with as much respect for the bravery of other men as a Svia. I am tired of hearing how he and his fellow warriors could defeat anyone in the battlefield, just because he is a master of military discipline.
str_npc10_personalityclash_speech|Excuse me, warlord. I hate to trouble you with such things, but I just wanted to let you know that I can't abide that fellow {s11}, he likes to say he is some sort of squire to kings or something.
str_npc11_personalityclash_speech|Begging your pardon, but I can't keep silent. Not to you, {reg59?my pretty:handsome}. That man, {s11} -- he is stupid, arrogant and heavy. He loves battle with bloodthirsty passion, without understanding the honor or poetry of war, despite trying to imitate the bards. He has also made unwelcome advances...
str_npc12_personalityclash_speech|My {reg59?lady:lord}. That ignorant {s11}, has been spreading lies that I am nothing more than a cowardly rascal, unfit for the battlefield.
str_npc13_personalityclash_speech|Excuse me, warlord. I am very close to killing with my bare hands that insect that calls himself {s11}. That joke of a warrior does not understand how bravery without discipline can only result in defeat and shame.
str_npc14_personalityclash_speech|Captain, you must be aware that the ugly girl known as {s11} is a disruptive influence to our men. She complains that I have been trying to seduce her, but that is nothing farther from the truth, for I cannot even stand her smell.
str_npc15_personalityclash_speech|Excuse me. I hope you don't mind me telling you, but, in my opinion, {s11} is a danger to the party. He only cares about religion and Hell and is disrespectful of authority and the basic principles of the military art.
str_npc16_personalityclash_speech|Just so you know -- there's something demonic about {s11}. He makes strange scrawlings in the dirt, and mutters to himself all the time before battle.
str_npc1_personalityclash_speech_b|She's not somebody special, and she has no right to tell me to keep my distance from her, as she did just now.
str_npc2_personalityclash_speech_b|I don't much care to hear {s11} gloat about the righteousness of the chaste and pure life. I am a warrior who aspires to walhalla, not one of {s11}'s saints.
str_npc3_personalityclash_speech_b|I know that an army is usually a men's place, but I believe I deserve some respect as well. I am no one's whore. I hope you do not mind me saying so.
str_npc4_personalityclash_speech_b|This Saxon, {s11}, is looking for death. That is all.
str_npc5_personalityclash_speech_b|I told him that if the warrior's way bothers him so much, he should become a priest or a beggar and so not have to worry about such things. I hope you do not mind that I said such things.
str_npc6_personalityclash_speech_b|I know I'm not the best of men, but I am seeking repentance, and I deserve better than to be the object of some witch's superstition. I think she has some devil's blood. I just thought you should know.
str_npc7_personalityclash_speech_b|I do not care for how he stares at me around the campfire after a meal, as he picks his teeth and drinks his foul beer. What I cannot accept is that he keeps saying that he is a much better tracker than myself, which is obviously false. He is base, ignorant, and a completely idiotic youth, that could never compare to me in tracking, nor in anything else. I do not care to travel with such people.
str_npc8_personalityclash_speech_b|It is true I do not know how to read and write, nor how to speak Latin. But I know much more of life and battle than {s11}, and a great warrior like me should not be mocked by some weak-minded thinker. It was only out of respect for you that I refrained from cutting his throat when I overheard his jokes about me. I thought it only fitting that I should warn you.
str_npc9_personalityclash_speech_b|So I asked him, if he and his men were so much more disciplined than even Frankish warriors, how come he failed to conquer his Danish enemies and exiled himself among the Saxons, a people that he despises? He gave me no reply, his face just turned red, then he cursed me and all of my ancestors, and almost challenged me to a duel. He says he is so disciplined, but I think maybe you should discipline him a little more.
str_npc10_personalityclash_speech_b|Everyone knows there is no Welsh of true noble blood. Genuine elite bloods are never Brythonic, and any Welsh who pretends to be  elite blood is simple, foolish, and intolerable. Anyway, I might have said something that was a bit sharp to him a moment ago - something like 'if he is truly a noble, that's probably because his father is a Saxon'. He seemed to take offense, anyway. I just thought you should know.
str_npc11_personalityclash_speech_b|He'll bring us nothing but misfortune and sorrow, that's for certain. I don't like being around him, and I don't think he should be with us. I have also instructed him that a skaldmo must be a virgin, but he stupidly keeps speaking of love. I cannot abide him any longer. That's all. Sorry for troubling you, {reg59?my pretty:handsome}.
str_npc12_personalityclash_speech_b|It is not my fault that this stupid barbarian is incapable of understanding the beautiful world of medicine, nor that he prefers to die with an infected wound than to be helped by my knowledge of nature and human body. Warlord, I am deeply tired of standing such an ungrateful and ignorant lot.
str_npc13_personalityclash_speech_b|That schit {s11} saw fit to mock the war-like nature of my people, and even suggested that I am in Englaland only because I was defeated in the battlefield fighting againts the Danish, which, of course, has never happened. I will not have my methods nor my beliefs questioned in front of the men, and I will not serve any warlord who tolerates such insubordination and stupidity in his shield-wall. Thank you for allowing me to speak my piece.
str_npc14_personalityclash_speech_b|She is the one that has already tried many times to sneak into my tent during the night, and uses every opportunity to be alone with me, trying to provoke me into something I do not dare to say out loud. Please, explain to that impudent girl that I only care for beautiful women, and would have no business with the likes of her.
str_npc15_personalityclash_speech_b|I heard him preaching to the warriors that our preparations before a battle or a siege are completely innocuous, because victory could only be achieved if it befitted God's will. Even though I also believe in Christ, I know for sure that a pure Christian soul alone never guaranteed victory to any army. I think you should tell him to stop this kind of preaching right now.
str_npc16_personalityclash_speech_b|Fearing witchcraft, I asked {s11} about it, and told me that I should mind my own business. So I had to look in his baggage, and found a heretical Odin Symbol. I am sure that this symbol is corrupt, a thing of the Devil, surely. We should definitely get rid of {s11} for the sake of our immortal souls.
str_npc1_personalityclash2_speech|Warlord -- no offense, but I'm a bit tired of {s11}, who keeps saying that I am a crazy and an idiot youth that is surely doomed to go to Hell.
str_npc2_personalityclash2_speech|{reg59?Madame:Sir}. If you don't mind, I'd prefer not to be deployed anywhere near {s11}, lest I be tempted to sacrifice him to my gods.
str_npc3_personalityclash2_speech|{reg59?Madame:Sir}. 내가 당신의 방패벽에 합류하고 나서 나는 병사로 살아가는 법과 전사들만의 질서를 존중하는 법을 배우기 위해 정말 열심히 노력했어요. 그건 노예로 사는것 보다 훨씬 좋았어요. 하지만 당신의 부하들 중 일부는 나를 동등한 동료로 존중해주질 않아요.
str_npc4_personalityclash2_speech|I told you that I hate the Picts, and you invited {s11} to join us. Well, inform her that when she speaks to me, she should remember that she is nothing more than a Pictish tracker, whereas I am a Scot.
str_npc5_personalityclash2_speech|Warlord. {s11} needs to have her tongue cut out, and her back whipped hard.
str_npc6_personalityclash2_speech|Did you see {s11} during that last battle? He taunts the fallen foe as they lay stricken and helpless on the battlefield, mocking their parentage, their foolishness for having fought us if not already being completely depraved and weak just like all his race are.
str_npc7_personalityclash2_speech|Warlord -- I have grown tired of the insolence of this man that answers to the name of {s11}. He thinks I am less a warrior than him just because I am also a tracker, and especially a woman. Yes, I know it's not common for a woman to leave her home and her husband, but where I come from, among the Picts, we have few options, but definitely more than in other ignorant lands.
str_npc8_personalityclash2_speech|주군. {s11}가 아주 건방진 여자란걸 알고 있었소? 내가 공손하고 친근하게 대하려고 해도 매번 내 호의를 묵살했소. 이 하찮은 여자는 자기가 우리 캠프의 노예가 아닌 전사가 된걸로 착각하는 모양이오.
str_npc9_personalityclash2_speech|{reg59?My lady:Sir}, I hope you do not mind me telling you this, but in my opinion {s11}, the bastard, does not know his place. During that last battle, he cut in front of me to engage a foe whom I had marked as my own.
str_npc10_personalityclash2_speech|Warlord -- a question for you. Are you in charge of this shield-wall, or is it {s11}?
str_npc11_personalityclash2_speech|{reg59?My pretty:Handsome}, I do not think we should keep the company of that fellow {s11}. Please, hear what I feel in my heart.
str_npc12_personalityclash2_speech|Warlord. I can no longer abide the rank ignorance of {s11}. As I was treating the wounded during our last battle, he saw fit to disparage my use of laudanum in relieving the pain while I conducted surgery, and of treating wounds with a poultice of honey.
str_npc13_personalityclash2_speech|I must say that the presence of {s11} offends me. He is Danish, and mocks one of the confrontations between my people and the Danish where I participate and were completely defeated.
str_npc14_personalityclash2_speech|{reg59?Madame:Sir}. {s11} is a terrible companion, and does not deserve the honor to be part of the glorious Saga of our shield-wall that shall be forever sung for generations to come.
str_npc15_personalityclash2_speech|Strategos -- I must tell you that I question {s11}'s medical credentials. As he was tending to our wounded after that last battle, I saw fit to remind him that the peerless Hippocrates often advocated administering a distillation of beetroot, to restore the humor imbalance brought by loss of sanguinity.
str_npc16_personalityclash2_speech|If you have any fear ofo God, pay heed to the warnings I am about to speak. The demon called {s11} must be put to death right now.
str_npc1_personalityclash2_speech_b|I have no interest in becoming a Christian, and, in my opinion, this priest only brings us bad luck. Maybe we should burn him.
str_npc2_personalityclash2_speech_b|The enemy was bearing down on us, and he says, 'A great warrior does not drink mead in battle.' Next time I will step aside, and let him take a spear in the gut.
str_npc3_personalityclash2_speech_b|우리가 마지막 전투에서 승리하고 나서, 나는 전리품을 챙기고 있었죠. 그런데 레인허드라고 불리는 저 프리지아인이 저를 옆으로 밀쳐내더니 그러더군요, 단지 부대를 따라다닐 수 있게 허락된 순진한 노예 소녀에겐 전리품을 갈무리 할 자격이 없다고 말이에요.^저는 제게도 방패벽 속에서 전투를 치르고 나서 다른 전사들 처럼 제 몫의 전리품을 받을 자격이 있다고 생각해요. 물론 내가 다른 사람들 보다 경험이 적긴 하지만... 나도 내 목숨을 걸고 싸웠단 말이에요!
str_npc4_personalityclash2_speech_b|Finally, you will have to deal with that northern woman. She must remember her place or be whipped.
str_npc5_personalityclash2_speech_b|As far as I understand she is but a woman. Yet, when I ordered her to fetch me a fine piece of stew last night, she refused and said that I should get it myself. Yesterday I was too tired to properly slap her for her impudence, and so I let it go, but I will not tolerate such disrespect in the future.
str_npc6_personalityclash2_speech_b|We should not tolerate that bastard in our shield-wall. The battle is no place for mockeries, and no true warrior would pester a fallen foe. Please, let me kill this idiot, let me appease my tortured soul with this enemy's blood.
str_npc7_personalityclash2_speech_b|He also insists that I should address him as 'my lord', instead of his ridiculous name. I tell you, one day when I have my own band of warriors, I will hunt him down and ask him how much better a warrior he is with my axe buried in his skull.
str_npc8_personalityclash2_speech_b|마지막 전투 후에 우리가 무기를 손질하고 있을 때, 그녀가 당당한 매력이 있는 여자라고 생각한다며 기꺼이 내 친구들 중 맞는 짝을 찾아주겠노라고 말했소. 나는 그녀에게 비록 내가 신부감을 찾고 있기는 하지만 나는 오직 자유민 여성과만 결혼할 것이라고도 말했소.^내 생각에 종군 노예로서는 스스로 가능성을 찾기 어려운 아주 관대한 제안인데 말이오. 그런데 그녀는 고마워하기는 커녕 말 한마디 없이 등을 돌리더군... 내가 그녀에게 예절에 대해서 바로 가르치려 하지 않았던 이유는 오직 당신의 지도력에 대한 존중 때문이었소. 난 진심으로 당신이 당신의 노예들을 더 잘 교육시키길 바라오.
str_npc9_personalityclash2_speech_b|I appreciate that he is willing to risk his life in battle, but that alone does not make a warrior. He is not of noble birth. He may fight with us as an auxiliary, as a favor, but he should not attempt to steal glory from his betters.
str_npc10_personalityclash2_speech_b|In that last battle, as always, he keeps singing and praising himself as the glorious commander that lead us all to victory, fame, and fortune. I am sorry, but if he is our leader instead of you, I am ready to go find my fortune somewhere else.
str_npc11_personalityclash2_speech_b|As far as I know, he is an exiled man that will never find peace, nor truly be allowed to return to his homeland. All because he was unable to obey his jarl. Well, if he can't obey even his rightful jarl, what says that he shall obey you? Please, don't take me wrong, {reg59?my pretty:handsome} -- for I would obey you in any of your desires, I am even more loyal to you than I am to Thor -- but I think he is dangerous to all of us. I think you had best be rid of him.
str_npc12_personalityclash2_speech_b|Warlord, if that man knew the slightest thing about medical matters, he would know that one should never undermine a patient's confidence in his medic, particularly not during a complicated operation. He should stick to military matters only. If you would be kind enough to dismiss him from this shield-wall, you would be doing all of us a great service.
str_npc13_personalityclash2_speech_b|He keeps saying that I better watch my back, for someday he will stick his lance deep into my dark svia heart. He has sworn to kill me in the next battle. You better keep a close eye on this fool.
str_npc14_personalityclash2_speech_b|In our last battle, while I was singing about the many battles that your leadership alongside my courage allowed us all to emerge victorious from, he spit to the ground and told me to shut my arrogant mouth. If this man does not understand the legendary character of our feats, than he should not be allowed to share our glory and fortune.
str_npc15_personalityclash2_speech_b|{s11} responded that Hippocrates was an 'antiquated know-nothing', incomparable to the knowledge of Galenus. Strategos, no true medic would have such disrespect for the great masters of the past. I do not believe you should employ such an obvious impostor.
str_npc16_personalityclash2_speech_b|This awful woman has openly declared that she follows the pagan gods Odin and Thor, and that the teachings of Christ are nothing more than the babblings of weak men. She even made an absurd remark suggesting that I, a holy priest, brought us all bad luck with my 'gibberish preaching.' If you have no intention of leading all of your men to Hell, this Norse woman should be immediately sent to her afterlife by fire.
str_npc1_personalitymatch_speech|Warlord. {s11} didn't do badly in that last fight at all. He's a good egg, that one.
str_npc2_personalitymatch_speech|{reg59?Madame:Sir}. I just wanted to tell you that {s11} may be a rough sort, and I'll venture a complete drunkard as well, but I'm proud to call him my companion.
str_npc3_personalitymatch_speech|안녕하세요, {reg59?부인:나리}! 저는 그냥 {s11}가 우리중 가장 용맹하고 용감한 전사라고 말하고 싶었어요. 우리의 마지막 전투에서 그가 어떻게 하는지 봤어요?
str_npc4_personalitymatch_speech|I just wanted to say a word in praise of {s11}. He did well in that last battle.
str_npc5_personalitymatch_speech|That was a fine battle, {playername}! {s11} is a good companion to have by our side in a fight.
str_npc6_personalitymatch_speech|Sometimes I am troubled by all this bloodshed, although I know that proud warlords must be humbled, and cruel bandits tamed, if we are to restore peace.
str_npc7_personalitymatch_speech|Warlord, I was just talking to {s11}. He might be an incisive man, but he holds no prejudice for me being a woman or a Pict.
str_npc8_personalitymatch_speech|A fine battle that was, warlord. And I have to say, I greatly enjoy the company of {s11}, for he is a fine commander of men.
str_npc9_personalitymatch_speech|주군. {s11}, 그녀는 아까 그 적들에 맞설 때 잘 처신하더군. 감히 말하자면, 그녀는 보통의 대단치 않은 처녀들보다 훨씬 낫소.
str_npc10_personalitymatch_speech|Dryhten! I wish you joy in your victory! Say, I really like the company of that Solveig. I see that she is extremely devoted to the safety of our shield-wall.
